RampageIroI,15,屠龍刀,桌面有故事啊
花到丶不得了,11,影魔王,绿绿绿
小缘我们陪着你,34,小緑帽,唱一个
KamuiVVV,9,丁酱,哈麻皮
MinaMJN,15,小僵尸,哈哈哈
北海道丹鱼,25,小僵尸,啊绿你终于肥来啦
最爱小缘的小小峰,24,196,绿绿绿绿绿绿绿绿绿绿绿绿
提刀出禁來,23,集团军,唱啊
li847955156,16,无粉丝牌,绿绿绿
今天都是小霸王,15,无粉丝牌,有生之年
psl2015,23,禾宝呀,？？？？
一群基二群秃,42,大马猴,？？？？？？？？
预感鱼竿,32,小緑帽,唱啊
冠军得主,9,无粉丝牌,绿绿绿绿绿绿绿绿绿
长白新川,3,无粉丝牌,猛男
宅男宅宅宅宅急送,20,小霸天,我先去听5人齐  马上回来
二货也有美好人生_acfun,16,天宣占,绿皇重回陆地神仙境
Leo就是莱奥,23,小豆包,你唱啊
负荷zzzz,3,无粉丝牌,绿绿绿绿
zzx1314,24,小僵尸,唱起来
anthonywei,24,一发,QQ音乐
花花收到请回答,11,小緑帽,.....
缘来我叫RUA啵啵,31,小緑帽,唱起来呀
榆中听雪,18,小豆包,唱啊
舒乐安定,16,无粉丝牌,话说阿绿到底是谁啊
冠军得主,9,无粉丝牌,都给老子绿
山东陈奕迅丶,27,小僵尸,唱
你可住口吧,27,咕咕希,开始了
daradarat,19,小僵尸,听歌鬼才
在下冷冷控ii,20,突突突,唱啊
缘来爱吃拌面,23,小僵尸,唱啊
大风起西兮裙飞扬,19,小緑帽,唱啊
信阳ci,16,无粉丝牌,酷狗
Garros,25,小緑帽,你不是有酷狗么
limerecss,7,无粉丝牌,....
老陈我可以和你睡觉吗,51,无粉丝牌,你唱啊
红星的霸霸,4,无粉丝牌,卧槽，诈尸？
黄浦江畔丶吃牛,21,小緑帽,绿皇重回陆地神仙境
Barni,16,集团军,Lei啊
叫我小姜就好了,27,小僵尸,唱啊
7LEgend,23,小緑帽,没麦你怎么讲话的
小丽啦啦啦,20,小僵尸,龟龟
你有千里远,14,小肚皮,qq音乐
梦特伊布,23,克洛E,小呆罗拉？？？？？？
fall1ng丶,30,小緑帽,godfather
Reuskiler,15,小僵尸,小点声音。。。
